File created on 2025-11-10T15:36:18.913383
Source data: ac_h0s_mfi_20120122000004_20120122235948_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:36:18.913263#COOR
GSM

#SATELLITEXYZ
208.861
  0.000
  0.000


#START
2012 01 22 01 20 20 831        0.41      -7.37       9.98    -319.82      12.16      -4.96     567.25  230644.80
2012 01 22 01 20 32 107        0.41      -7.38       9.97    -319.88      12.30      -5.16     567.17  230554.85
2012 01 22 01 20 47 146        0.49      -7.29       9.99    -319.95      12.47      -5.41     567.06  230434.93
2012 01 22 01 21 02 182        0.54      -7.29       9.98    -320.03      12.65      -5.67     566.95  230315.00
2012 01 22 01 21 17 222        0.36      -7.39       9.84    -320.10      12.82      -5.93     566.84  230195.08
2012 01 22 01 21 20 981        0.36      -7.39       9.83    -320.12      12.87      -5.99     566.81  230165.09
2012 01 22 01 21 32 258        0.36      -7.39       9.78    -320.17      13.00      -6.18     566.73  230075.15
2012 01 22 01 21 47 299        0.49      -7.23      10.00    -320.25      13.17      -6.44     566.62  229955.22
2012 01 22 01 22 02 337        0.48      -7.39       9.91    -320.32      13.35      -6.70     566.51  229835.30
2012 01 22 01 22 17 378        0.38      -7.29       9.98    -320.40      13.52      -6.96     566.41  229715.37
2012 01 22 01 22 21 138        0.39      -7.29       9.99    -320.42      13.57      -7.02     566.38  229685.39
2012 01 22 01 22 30 924        0.43      -7.27      10.03    -320.59      13.28      -6.60     566.30  229595.45
2012 01 22 01 22 43 980        0.50      -7.24      10.02    -320.81      12.90      -6.05     566.19  229475.52
2012 01 22 01 22 57 037        0.55      -7.00      10.18    -321.04      12.52      -5.49     566.08  229355.59
2012 01 22 01 23 10 101        0.50      -7.09      10.05    -321.27      12.14      -4.94     565.97  229235.67
2012 01 22 01 23 13 367        0.44      -7.20       9.95    -321.33      12.04      -4.80     565.94  229205.69
2012 01 22 01 23 26 688        0.27      -7.55       9.64    -321.23      12.32      -4.89     565.86  229115.74
2012 01 22 01 23 44 451        0.36      -7.55       9.58    -321.09      12.68      -5.02     565.75  228995.82
2012 01 22 01 24 02 218        0.30      -7.56       9.49    -320.95      13.04      -5.15     565.64  228875.89
2012 01 22 01 24 19 984        0.23      -7.48       9.60    -320.82      13.40      -5.27     565.53  228755.97
2012 01 22 01 24 24 426        0.23      -7.45       9.63    -320.78      13.49      -5.30     565.51  228725.98
2012 01 22 01 24 40 643        0.20      -7.36       9.72    -320.46      12.55      -4.59     565.42  228636.04
2012 01 22 01 25 02 276        0.24      -7.43       9.69    -320.02      11.30      -3.64     565.31  228516.11
2012 01 22 01 25 23 927        0.41      -7.39       9.62    -319.59      10.05      -2.68     565.21  228396.19
2012 01 22 01 25 45 591        0.45      -7.28       9.75    -319.15       8.79      -1.73     565.10  228276.26
2012 01 22 01 25 51 010        0.43      -7.29       9.74    -319.04       8.48      -1.49     565.07  228246.28
2012 01 22 01 26 01 364        0.36      -7.32       9.71    -319.17       8.66      -1.75     564.99  228156.34
2012 01 22 01 26 15 170        0.33      -7.22       9.70    -319.34       8.90      -2.09     564.88  228036.41
2012 01 22 01 26 28 981        0.33      -7.27       9.73    -319.51       9.15      -2.42     564.77  227916.49
2012 01 22 01 26 42 791        0.33      -7.29       9.61    -319.67       9.39      -2.76     564.66  227796.56
2012 01 22 01 26 46 244        0.28      -7.27       9.63    -319.72       9.45      -2.85     564.63  227766.58
2012 01 22 01 26 55 490        0.15      -7.20       9.69    -319.93      10.06      -3.50     564.55  227676.63
2012 01 22 01 27 07 821        0.15      -7.23       9.64    -320.21      10.86      -4.37     564.44  227556.71
2012 01 22 01 27 20 158        0.17      -7.17       9.72    -320.49      11.66      -5.24     564.33  227436.78
2012 01 22 01 27 32 505        0.05      -7.02       9.75    -320.78      12.46      -6.11     564.22  227316.86
2012 01 22 01 27 35 592        0.05      -7.06       9.72    -320.85      12.66      -6.32     564.20  227286.87
2012 01 22 01 27 49 496        0.06      -7.18       9.64    -320.70      12.42      -5.96     564.11  227196.93
2012 01 22 01 28 08 041        0.05      -7.20       9.59    -320.50      12.09      -5.47     564.01  227077.00
2012 01 22 01 28 26 585        0.07      -7.21       9.56    -320.31      11.75      -4.98     563.90  226957.08
2012 01 22 01 28 45 136        0.06      -7.23       9.66    -320.11      11.42      -4.49     563.79  226837.15
2012 01 22 01 28 49 774        0.11      -7.23       9.67    -320.06      11.34      -4.37     563.76  226807.17
2012 01 22 01 29 01 455        0.26      -7.22       9.70    -320.09      11.53      -4.76     563.68  226717.23
2012 01 22 01 29 17 033        0.28      -7.05       9.75    -320.12      11.78      -5.29     563.57  226597.30
2012 01 22 01 29 32 609       -0.14      -7.26       9.61    -320.15      12.03      -5.81     563.46  226477.38
2012 01 22 01 29 48 187       -0.00      -7.41       9.50    -320.18      12.28      -6.33     563.35  226357.45
2012 01 22 01 29 52 081        0.04      -7.38       9.51    -320.19      12.34      -6.46     563.32  226327.47
2012 01 22 01 30 09 064        0.16      -7.29       9.54    -319.81      12.34      -6.16     563.24  226237.52
2012 01 22 01 30 31 730        0.04      -7.34       9.51    -319.30      12.34      -5.75     563.13  226117.60
2012 01 22 01 30 54 414        0.11      -7.40       9.51    -318.78      12.35      -5.35     563.02  225997.67
2012 01 22 01 31 17 119        0.13      -7.42       9.47    -318.27      12.35      -4.94     562.91  225877.75
2012 01 22 01 31 22 800        0.10      -7.46       9.47    -318.14      12.35      -4.84     562.89  225847.77
2012 01 22 01 31 35 743       -0.02      -7.57       9.46    -318.07      11.96      -4.64     562.81  225757.82
2012 01 22 01 31 52 999       -0.19      -7.62       9.38    -317.98      11.45      -4.37     562.70  225637.90
2012 01 22 01 32 10 258       -0.18      -7.58       9.25    -317.88      10.93      -4.10     562.59  225517.97
2012 01 22 01 32 27 515       -0.04      -7.60       9.22    -317.79      10.41      -3.84     562.48  225398.04
2012 01 22 01 32 31 830       -0.02      -7.59       9.23    -317.76      10.28      -3.77     562.45  225368.06
2012 01 22 01 32 44 138        0.03      -7.57       9.25    -317.74      10.78      -3.94     562.37  225278.12
2012 01 22 01 33 00 546       -0.07      -7.57       9.23    -317.71      11.45      -4.18     562.26  225158.19
2012 01 22 01 33 16 958       -0.00      -7.44       9.39    -317.68      12.11      -4.41     562.15  225038.27
2012 01 22 01 33 33 366       -0.16      -7.49       9.42    -317.65      12.78      -4.64     562.04  224918.34
2012 01 22 01 33 37 469       -0.15      -7.51       9.40    -317.64      12.94      -4.70     562.01  224888.36
2012 01 22 01 33 50 349       -0.14      -7.54       9.36    -317.57      11.99      -4.06     561.93  224798.41
2012 01 22 01 34 07 519       -0.15      -7.66       9.28    -317.48      10.71      -3.22     561.82  224678.49
2012 01 22 01 34 24 693       -0.15      -7.74       9.16    -317.39       9.43      -2.37     561.71  224558.56
2012 01 22 01 34 41 865       -0.09      -7.71       9.25    -317.31       8.16      -1.53     561.61  224438.64
2012 01 22 01 34 46 158       -0.13      -7.74       9.25    -317.28       7.84      -1.32     561.58  224408.66
2012 01 22 01 34 55 760       -0.23      -7.81       9.25    -317.47       7.88      -1.40     561.50  224318.71
2012 01 22 01 35 08 570       -0.15      -7.82       9.16    -317.71       7.94      -1.51     561.39  224198.79
