Time,BX,BY,BZ,VX,VY,VZ,X,NP,ID
2016-05-06 10:57:59,4.684999942779541,-6.539000034332275,-5.839000225067139,-407.951416015625,12.500672340393066,-14.576140403747559,1541911.375,9.564263343811035,71
2016-05-06 10:58:41,3.9809999465942383,-6.25,-6.298999786376953,-407.9884033203125,13.633687973022461,-13.563438415527344,1541913.25,9.47272777557373,71
2016-05-06 10:59:16,4.283999919891357,-6.658999919891357,-5.741000175476074,-407.7603454589844,10.092124938964844,-8.945625305175781,1541914.25,9.40086841583252,71
2016-05-06 11:00:29,3.640000104904175,-7.14900016784668,-4.708000183105469,-407.8560485839844,12.766780853271484,-9.830546379089355,1541916.625,9.8282470703125,71
2016-05-06 11:02:36,3.312000036239624,-7.515999794006348,-4.940999984741211,-409.8104553222656,14.740875244140625,-9.018156051635742,1541921.375,10.140891075134277,71
2016-05-06 11:05:18,4.304999828338623,-7.486000061035156,-4.190000057220459,-410.6604919433594,14.01768684387207,-2.848249912261963,1541926.625,10.552474975585938,71
2016-05-06 11:06:14,4.348999977111816,-6.321000099182129,-5.64900016784668,-409.61444091796875,16.941438674926758,-4.209562301635742,1541928.5,10.145781517028809,71
2016-05-06 11:07:42,5.0370001792907715,-5.315000057220459,-5.795000076293945,-409.6000061035156,14.886062622070312,-3.802500009536743,1541932.125,10.576619148254395,71
2016-05-06 11:09:04,2.632999897003174,-7.2729997634887695,-4.553999900817871,-413.4874572753906,13.923718452453613,-4.630343914031982,1541934.75,10.12524127960205,71
2016-05-06 11:09:36,4.375,-6.440000057220459,-5.309999942779541,-413.3456726074219,12.278968811035156,-2.4669687747955322,1541936.0,10.32374382019043,71
2016-05-06 11:10:44,3.8959999084472656,-4.651000022888184,-7.414000034332275,-411.8113708496094,12.040531158447266,-0.7104687690734863,1541938.75,10.679181098937988,71
2016-05-06 11:12:16,3.6600000858306885,-6.468999862670898,-4.761000156402588,-409.9505310058594,12.366750717163086,-2.0724687576293945,1541941.75,10.340755462646484,71
2016-05-06 11:13:00,2.5980000495910645,-7.081999778747559,-4.508999824523926,-406.4625549316406,14.05581283569336,-8.240718841552734,1541943.0,10.509012222290039,71
2016-05-06 11:13:48,2.2690000534057617,-7.618000030517578,-3.9579999446868896,-405.3318176269531,15.090155601501465,-10.608843803405762,1541944.5,10.600099563598633,71
2016-05-06 11:16:32,0.8650000095367432,-7.46999979019165,-2.6689999103546143,-409.1165466308594,13.054062843322754,-6.09890604019165,1541950.75,10.326068878173828,71
2016-05-06 11:17:05,0.8230000138282776,-7.630000114440918,-2.5329999923706055,-408.9096374511719,12.560750007629395,-4.604203224182129,1541951.75,10.517141342163086,71
2016-05-06 11:17:59,0.3889999985694885,-7.624000072479248,-2.2290000915527344,-408.7189636230469,11.412609100341797,-3.1490468978881836,1541953.625,10.919842720031738,71
2016-05-06 11:18:09,0.4059999883174896,-7.923999786376953,-1.996999979019165,-408.8565979003906,11.78307819366455,-3.8613905906677246,1541954.125,10.857952117919922,71
2016-05-06 11:18:53,1.059999942779541,-7.756999969482422,-3.056999921798706,-409.4242248535156,13.087499618530273,-6.347562789916992,1541956.125,10.597318649291992,71
2016-05-06 11:19:19,1.156000018119812,-7.695000171661377,-2.999000072479248,-409.4522705078125,11.228500366210938,-2.582437515258789,1541956.875,10.537681579589844,71
2016-05-06 11:20:17,2.187999963760376,-7.238999843597412,-5.175000190734863,-407.73553466796875,11.451140403747559,-2.587656259536743,1541958.75,10.440689086914062,71
2016-05-06 11:20:40,1.5700000524520874,-8.322999954223633,-3.671999931335449,-405.9810485839844,14.176280975341797,-7.661312580108643,1541959.5,10.423977851867676,71
2016-05-06 11:23:07,1.7949999570846558,-7.988999843597412,-4.488999843597412,-405.318359375,16.910015106201172,-7.5027031898498535,1541965.0,12.476239204406738,71
2016-05-06 11:23:11,2.7279999256134033,-7.440999984741211,-4.85099983215332,-405.1077880859375,16.94207763671875,-7.769515514373779,1541965.125,12.394795417785645,71
2016-05-06 11:24:12,1.8760000467300415,-7.686999797821045,-4.9720001220703125,-401.87127685546875,17.28700065612793,-11.467594146728516,1541967.0,11.172281265258789,71
2016-05-06 11:26:01,0.4740000069141388,-7.428999900817871,-5.359000205993652,-398.7928771972656,14.356672286987305,-5.380304336547852,1541970.5,10.780013084411621,71
2016-05-06 11:26:02,0.7940000295639038,-7.413000106811523,-5.408999919891357,-398.8136291503906,14.37874984741211,-5.407374858856201,1541970.5,10.785662651062012,71
2016-05-06 11:28:44,2.2709999084472656,-7.389999866485596,-5.245999813079834,-399.0802001953125,16.940500259399414,-11.791281700134277,1541976.5,11.246456146240234,71
2016-05-06 11:30:00,2.4040000438690186,-7.275000095367432,-5.330999851226807,-402.60540771484375,15.384718894958496,-9.682562828063965,1541979.0,11.079400062561035,71
2016-05-06 11:30:44,2.681999921798706,-7.507999897003174,-4.815000057220459,-402.2479553222656,13.443593978881836,-5.931094169616699,1541980.5,11.19858169555664,71
2016-05-06 11:31:16,2.1600000858306885,-7.177999973297119,-5.326000213623047,-401.3709411621094,14.751093864440918,-6.4145941734313965,1541982.0,10.9434814453125,71
2016-05-06 11:32:55,1.1859999895095825,-5.129000186920166,-5.85099983215332,-399.8873596191406,5.376327991485596,0.9103125929832458,1541985.375,9.924548149108887,71
2016-05-06 11:34:26,2.441999912261963,-6.230999946594238,-6.039000034332275,-400.7822570800781,12.369500160217285,-7.989500045776367,1541988.875,11.003125190734863,71
